place,title,time,pay,date
서울 강남구, (주)초록마을 본사직영,09:00~21:00,"월급2,350,000",7시간전
경기 성남시, (주)초록마을 본사직영,09:00~21:00,"월급2,350,000",7시간전
서울 성동구, (주)초록마을 본사직영,09:00~13:00,"시급10,310",8시간전
경기 군포시, (주)초록마을 본사직영,09:00~21:00,"월급2,310,000",14시간전
서울 강남구, (주)초록마을 본사직영,09:00~21:00,"월급1,900,000",04/18
서울 강남구, (주)초록마을 본사직영,09:00~21:00,"월급1,900,000",04/14
