place,title,time,pay,date
경기 용인시, 경기점 신세계백화점 자니로켓,10:00~16:00,"시급8,770",3시간전
경기 하남시, 쓰리트윈즈 하남점,13:30~22:30,"시급8,770",3시간전
서울 서초구, 올반 센트럴점,12:00~21:00,"월급1,780,680",04/08
